gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,1,Blue,top,Whip,oe:player:c8339988c78a30d995edd584432373c,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,Malphite,Nocturne,Jayce,Ezreal,Viktor,Sylas,,,,,,1676,0,1,2,3,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,8490,303.9379,0.156723,603.7947,1584.0215,10,0.358,4,0.1432,4,20,0.716,9188,5493,196.6468,0.213759,9330,,,199.0,199.0,0,,,7.1241,3114.0,5112.0,78.0,3470.0,5174.0,97.0,-356.0,-62.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,4598.0,7754.0,121.0,5179.0,7360.0,141.0,-581.0,394.0,-20.0,0.0,0.0,0.0,0.0,1.0,0.0,6708.0,9906.0,152.0,7340.0,10161.0,172.0,-632.0,-255.0,-20.0,1.0,3.0,1.0,2.0,5.0,1.0,8269.0,12312.0,191.0,9210.0,13285.0,223.0,-941.0,-973.0,-32.0,1.0,3.0,1.0,2.0,5.0,1.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,2,Blue,jng,shibi,oe:player:ba4c9b170092f1369593d1a49291b3c,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,Xin Zhao,Nocturne,Jayce,Ezreal,Viktor,Sylas,,,,,,1676,0,2,5,4,7,20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.2506,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,7595,271.8974,0.140202,1384.7613,875.4773,6,0.2148,6,0.2148,5,23,0.8234,9063,5368,192.1718,0.208895,8800,,,182.0,8.0,174,,,6.5155,3594.0,3918.0,76.0,3342.0,4108.0,81.0,252.0,-190.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,5414.0,6031.0,112.0,5294.0,6280.0,119.0,120.0,-249.0,-7.0,2.0,0.0,1.0,1.0,1.0,0.0,6788.0,7917.0,138.0,7941.0,8591.0,138.0,-1153.0,-674.0,0.0,2.0,4.0,4.0,5.0,7.0,0.0,8155.0,9503.0,165.0,9596.0,11315.0,180.0,-1441.0,-1812.0,-15.0,2.0,4.0,4.0,5.0,7.0,0.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,3,Blue,mid,Marty,oe:player:0f0b0a45df28cf6869d4d6f31cac9a4,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,Orianna,Nocturne,Jayce,Ezreal,Viktor,Sylas,,,,,,1676,0,1,0,4,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,0.0,0.0,20703,741.1575,0.382172,464.7136,373.1742,8,0.2864,4,0.1432,2,16,0.5728,9904,6209,222.2792,0.241621,9400,,,253.0,253.0,0,,,9.0573,3525.0,4989.0,98.0,3227.0,4500.0,85.0,298.0,489.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5306.0,7759.0,152.0,5083.0,7175.0,140.0,223.0,584.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,6943.0,10128.0,186.0,8055.0,10303.0,189.0,-1112.0,-175.0,-3.0,0.0,4.0,0.0,1.0,5.0,0.0,8650.0,12411.0,231.0,9936.0,13107.0,237.0,-1286.0,-696.0,-6.0,0.0,4.0,0.0,1.0,5.0,0.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,4,Blue,bot,Afriibi,oe:player:6f170b7669ad4fb4789e5dd41f84f52,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,Varus,Nocturne,Jayce,Ezreal,Viktor,Sylas,,,,,,1676,0,3,6,4,7,20,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2506,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,1.0,12939,463.21,0.23885,649.2601,329.463,10,0.358,7,0.2506,3,24,0.8592,9880,6185,221.42,0.240687,9525,,,208.0,202.0,6,,,7.4463,3329.0,3061.0,82.0,3203.0,3155.0,86.0,126.0,-94.0,-4.0,0.0,1.0,0.0,0.0,0.0,1.0,4956.0,4968.0,124.0,5438.0,5707.0,141.0,-482.0,-739.0,-17.0,0.0,2.0,0.0,1.0,1.0,1.0,7136.0,6519.0,146.0,8562.0,8898.0,182.0,-1426.0,-2379.0,-36.0,3.0,3.0,4.0,4.0,8.0,2.0,9074.0,8655.0,197.0,10847.0,11807.0,235.0,-1773.0,-3152.0,-38.0,3.0,3.0,4.0,4.0,8.0,2.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,5,Blue,sup,J3rkie,oe:player:8d311f9903ee9a0a4896a49cb18a964,ZennIT,oe:team:79fc65ce199f2e4fe97e277bdef6695,Rell,Nocturne,Jayce,Ezreal,Viktor,Sylas,,,,,,1676,0,0,7,7,7,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.2506,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4445,159.1289,0.0820535,606.9093,816.9809,44,1.5752,11,0.3938,12,80,2.864,6137,2442,87.4224,0.0950379,5650,,,24.0,24.0,0,,,0.8592,2292.0,2411.0,13.0,2066.0,2729.0,16.0,226.0,-318.0,-3.0,0.0,1.0,0.0,0.0,0.0,0.0,3535.0,3216.0,19.0,3250.0,3436.0,23.0,285.0,-220.0,-4.0,0.0,2.0,1.0,0.0,1.0,1.0,4503.0,4354.0,20.0,4732.0,4986.0,28.0,-229.0,-632.0,-8.0,0.0,6.0,4.0,1.0,6.0,3.0,5480.0,5115.0,22.0,5869.0,5803.0,33.0,-389.0,-688.0,-11.0,0.0,6.0,4.0,1.0,6.0,3.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,6,Red,top,Tracyn,oe:player:1725cf69407d2dcdf2873d0669409e8,Los Heretics,oe:team:9cb395c39a75579af94c93876a42e9b,Ambessa,Skarner,Maokai,Vi,Poppy,Renekton,,,,,,1676,1,6,1,6,20,7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,16940,606.4439,0.219803,734.1408,903.9737,7,0.2506,4,0.1432,3,22,0.7876,13194,9499,340.0597,0.243575,11175,,,254.0,250.0,4,,,9.0931,3470.0,5174.0,97.0,3114.0,5112.0,78.0,356.0,62.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,5179.0,7360.0,141.0,4598.0,7754.0,121.0,581.0,-394.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,7340.0,10161.0,172.0,6708.0,9906.0,152.0,632.0,255.0,20.0,2.0,5.0,1.0,1.0,3.0,1.0,9210.0,13285.0,223.0,8269.0,12312.0,191.0,941.0,973.0,32.0,2.0,5.0,1.0,1.0,3.0,1.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,7,Red,jng,Daglas,oe:player:b49867477e266c5da8e995074e18f80,Los Heretics,oe:team:9cb395c39a75579af94c93876a42e9b,Sejuani,Skarner,Maokai,Vi,Poppy,Renekton,,,,,,1676,1,6,0,12,20,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,13567,485.6921,0.176037,1215.1432,1056.2649,10,0.358,3,0.1074,7,30,1.074,11564,7869,281.7064,0.201779,9725,,,194.0,11.0,183,,,6.9451,3342.0,4108.0,81.0,3594.0,3918.0,76.0,-252.0,190.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5294.0,6280.0,119.0,5414.0,6031.0,112.0,-120.0,249.0,7.0,1.0,1.0,0.0,2.0,0.0,1.0,7941.0,8591.0,138.0,6788.0,7917.0,138.0,1153.0,674.0,0.0,5.0,7.0,0.0,2.0,4.0,4.0,9596.0,11315.0,180.0,8155.0,9503.0,165.0,1441.0,1812.0,15.0,5.0,7.0,0.0,2.0,4.0,4.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,8,Red,mid,SAJATOR,oe:player:a6fed46f5e3d5e2e68356d7ac85a971,Los Heretics,oe:team:9cb395c39a75579af94c93876a42e9b,Azir,Skarner,Maokai,Vi,Poppy,Renekton,,,,,,1676,1,2,0,10,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.9666,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,0.0,0.0,16385,586.5752,0.212602,477.136,335.6921,16,0.5728,10,0.358,6,50,1.79,12073,8378,299.9284,0.214831,10200,,,261.0,253.0,8,,,9.3437,3227.0,4500.0,85.0,3525.0,4989.0,98.0,-298.0,-489.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,5083.0,7175.0,140.0,5306.0,7759.0,152.0,-223.0,-584.0,-12.0,0.0,1.0,0.0,0.0,0.0,0.0,8055.0,10303.0,189.0,6943.0,10128.0,186.0,1112.0,175.0,3.0,1.0,5.0,0.0,0.0,4.0,0.0,9936.0,13107.0,237.0,8650.0,12411.0,231.0,1286.0,696.0,6.0,1.0,5.0,0.0,0.0,4.0,0.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,9,Red,bot,Rin,oe:player:ee4894bcff1cfaa4ffbf71b7b8d8921,Los Heretics,oe:team:9cb395c39a75579af94c93876a42e9b,Miss Fortune,Skarner,Maokai,Vi,Poppy,Renekton,,,,,,1676,1,5,2,14,20,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.716,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.0,0.0,26038,932.148,0.337853,351.6945,395.4773,14,0.5012,7,0.2506,3,30,1.074,13135,9440,337.9475,0.242062,11925,,,260.0,260.0,0,,,9.3079,3203.0,3155.0,86.0,3329.0,3061.0,82.0,-126.0,94.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,5438.0,5707.0,141.0,4956.0,4968.0,124.0,482.0,739.0,17.0,1.0,1.0,1.0,0.0,2.0,0.0,8562.0,8898.0,182.0,7136.0,6519.0,146.0,1426.0,2379.0,36.0,4.0,8.0,2.0,3.0,3.0,4.0,10847.0,11807.0,235.0,9074.0,8655.0,197.0,1773.0,3152.0,38.0,4.0,8.0,2.0,3.0,3.0,4.0
LOLTMNT04_102216,complete,,EM,2025,Winter,0,2025-03-17 16:01:35,1,15.05,10,Red,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,Los Heretics,oe:team:9cb395c39a75579af94c93876a42e9b,Leona,Skarner,Maokai,Vi,Poppy,Renekton,,,,,,1676,1,1,4,13,20,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.9666,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,4139,148.1742,0.0537051,548.0907,654.0931,45,1.611,17,0.6086,12,101,3.6158,7507,3812,136.4678,0.0977533,5950,,,34.0,34.0,0,,,1.2172,2066.0,2729.0,16.0,2292.0,2411.0,13.0,-226.0,318.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3250.0,3436.0,23.0,3535.0,3216.0,19.0,-285.0,220.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,4732.0,4986.0,28.0,4503.0,4354.0,20.0,229.0,632.0,8.0,1.0,6.0,3.0,0.0,6.0,4.0,5869.0,5803.0,33.0,5480.0,5115.0,22.0,389.0,688.0,11.0,1.0,6.0,3.0,0.0,6.0,4.0
